,point,crowded_ratio,number_of_people,timestamp,location_group,timezone
4165,POINT (14.0711814 100.6019826),2,20,2020-08-20 13:45:14.296000+00:00,office,Asia/Bangkok
4167,POINT (14.0737229 100.6012958),1,3,2020-08-20 13:58:32.025000+00:00,shop,Asia/Bangkok
4194,POINT (14.073951 100.6029412),2,3,2020-08-23 23:55:33.630000+00:00,shop,Asia/Bangkok
4195,POINT (14.0733498 100.6011823),2,25,2020-08-23 23:57:44.635000+00:00,shop,Asia/Bangkok
4209,POINT (14.0650867 100.618185),2,38,2020-08-25 23:57:42.603000+00:00,shop,Asia/Bangkok
4210,POINT (14.0666102 100.6332134),2,42,2020-08-26 00:12:55.373000+00:00,shop,Asia/Bangkok
4211,POINT (14.0666185 100.633141),2,64,2020-08-26 00:53:17.315000+00:00,shop,Asia/Bangkok
4212,POINT (14.0652657 100.6293331),2,1,2020-08-26 01:05:32.527000+00:00,shop,Asia/Bangkok
4213,POINT (14.0653147 100.6181066),2,9,2020-08-26 01:16:45.186000+00:00,shop,Asia/Bangkok
4214,POINT (14.0653555 100.6181064),2,8,2020-08-26 01:51:48.102000+00:00,shop,Asia/Bangkok
4215,POINT (14.0665188 100.6293786),2,29,2020-08-26 02:08:26.499000+00:00,shop,Asia/Bangkok
4216,POINT (14.0665707 100.6331139),3,131,2020-08-26 02:20:30.870000+00:00,shop,Asia/Bangkok
